date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1991-07-05,136.01,137.68,135.9,135.96,1454000,-0.49037546658858844,136.13400000000001,135.49099999999999,130.7485,118.99316666666667,123.66308333333333,
1991-07-08,135.26,135.28,134.93,135.28,587400,-0.5001471020888548,135.82,135.802,131.429,119.261,123.67175,
1991-07-09,136.56,136.57,134.31,134.64,844200,-0.47309284447073496,135.55599999999998,135.917,132.0165,119.5255,123.675,
1991-07-10,134.4,135.6,133.72,133.99,602300,-0.4827688651217854,135.3,135.833,132.5105,119.78633333333333,123.67291666666667,
1991-07-11,133.22,133.99,133.13,133.38,507300,-0.45525785506381755,134.65,135.552,132.9125,120.04433333333333,123.66574999999999,
1991-07-12,132.8,133.38,132.42,132.8,314400,-0.4348478032688452,134.01799999999997,135.076,133.326,120.30016666666667,123.65808333333332,
1991-07-15,133.9,134.1,131.87,133.14,1193800,0.2560240963855209,133.59,134.70499999999998,133.6945,120.56783333333333,123.65783333333334,
1991-07-16,134.39,134.47,133.14,134.47,279600,0.9989484752891853,133.55599999999998,134.55599999999998,134.0665,120.86516666666667,123.67333333333333,
1991-07-17,135.81,135.81,135.39,135.81,66000,0.9965047966089102,133.92000000000002,134.60999999999999,134.4425,121.19216666666668,123.70466666666667,
1991-07-18,137.17,137.17,135.81,137.17,84700,1.0013990133274309,134.678,134.664,134.8225,121.54850000000002,123.75224999999999,
1991-07-19,137.66,138.54,136.66,136.7,1082300,-0.34264051906393034,135.458,134.738,135.1145,121.90416666666667,123.80016666666667,
1991-07-22,138.07,138.07,136.7,138.07,276400,1.0021945866861781,136.44400000000002,135.017,135.4095,122.27933333333334,123.86375,
1991-07-23,139.35,139.39,138.07,139.39,724100,0.9560367929311253,137.428,135.49200000000002,135.7045,122.69000000000001,123.94225,
1991-07-24,140.66,140.74,138.69,140.68,598800,0.9254609369395261,138.402,136.161,135.997,123.13566666666665,124.03533333333333,
1991-07-25,140.2,141.01,139.99,140.19,839000,-0.34830821723059735,139.006,136.842,136.197,123.58616666666667,124.12816666666666,
1991-07-26,140.11,141.46,139.27,140.66,927900,0.33525929096227536,139.79799999999997,137.628,136.352,124.057,124.22883333333333,
1991-07-29,141.22,141.72,140.81,141.52,477100,0.6114033840466382,140.488,138.466,136.5855,124.5555,124.33200000000001,
1991-07-30,142.39,142.45,141.39,142.39,560100,0.6147540983606481,141.08800000000002,139.25799999999998,136.90699999999998,125.08166666666666,124.437,
1991-07-31,143.72,143.8,142.39,143.8,405100,0.9902380785167697,141.712,140.05700000000002,137.33350000000002,125.64450000000001,124.54883333333333,
1991-08-01,145.12,145.24,143.8,145.24,473100,1.001390820584147,142.722,140.86399999999998,137.76399999999998,126.24366666666667,124.66775000000001,
1991-08-02,146.49,146.68,145.44,146.68,1174400,0.9914624070503919,143.92600000000002,141.862,138.3,126.87950000000001,124.79549999999999,
1991-08-05,148.06,148.15,146.68,148.15,512600,1.002181619852749,145.252,142.87,138.94350000000003,127.55133333333333,124.93075,
1991-08-06,149.62,149.62,148.15,149.62,200100,0.9922375970300434,146.69800000000004,143.89299999999997,139.6925,128.2585,125.07316666666665,
1991-08-07,150.93,151.12,149.62,151.12,110700,1.0025397674107817,148.162,144.937,140.549,129.001,125.22308333333334,
1991-08-08,152.57,152.61,151.12,152.61,195100,0.9859714134462738,149.63600000000002,146.179,141.5105,129.78166666666667,125.38091666666666,
1991-08-09,153.9,154.1,152.61,154.1,371500,0.9763449315247863,151.11999999999998,147.523,142.57549999999998,130.57083333333333,125.54608333333333,
1991-08-12,155.34,155.54,154.1,155.54,391900,0.9344581440623001,152.598,148.925,143.69549999999998,131.36616666666666,125.71833333333333,
1991-08-13,156.87,157.07,155.54,157.07,2003900,0.9836697955509788,154.088,150.393,144.8255,132.1705,125.90725,
1991-08-14,158.3,158.63,158.11,158.63,548000,0.9931877506843989,155.58999999999997,151.87600000000003,145.96650000000002,133.01016666666666,126.11308333333334,
1991-08-15,159.92,160.21,158.63,160.21,153700,0.9960284939797059,157.10999999999999,153.373,147.11849999999998,133.86233333333334,126.33591666666666,
1991-08-16,161.56,161.6,160.21,161.6,98400,0.8676112602209463,158.61,154.865,148.3635,134.72099999999998,126.57416666666668,
